Name,Percent
Graubünden,63.6
Genève,9.5
Basel-Stadt,27.4
Bern,
Basel-Landschaft,
Fribourg,6.7
Aargau,
Jura,
Luzern,
Neuchâtel,7.7
Appenzell Ausserrhoden,20.9
Appenzell Innerrhoden,6.1
Glarus,28.1
Nidwalden,
Obwalden,32.9
Sankt Gallen,
Schaffhausen,6.0
Schwyz,
Solothurn,
Thurgau,
Ticino,
Uri,
Valais,
Vaud,7.9
Zug,
Zürich,
