"date","producerShare","producerShareSmoothed"
2010-01-01,47.5328613636364,46.5146570290938
2010-02-01,46.6956742424242,46.557608507665
2010-03-01,46.0386590909091,46.6005599862363
2010-04-01,44.3422022727273,46.6624428256303
2010-05-01,43.8303234848485,46.7243256650243
2010-06-01,45.0714734848485,46.7993419538715
2010-07-01,46.0834390977444,46.8743582427187
2010-08-01,48.08452,46.9566685972055
2010-09-01,48.2492407692308,47.0389789516922
2010-10-01,48.0736113636364,47.2095263479566
2010-11-01,47.9812823076923,47.3800737442211
2010-12-01,49.3802275590551,47.6165706862574
2011-01-01,48.2292671875,47.8530676282938
2011-02-01,47.8971392307692,48.0000386170278
2011-03-01,47.1135469230769,48.1470096057618
2011-04-01,46.5631485074627,48.2117100490272
2011-05-01,48.0998821705426,48.2764104922925
2011-06-01,48.108725,48.2876846940697
2011-07-01,48.2423909090909,48.2989588958469
2011-08-01,48.1289122137405,48.315406459635
2011-09-01,48.3367992366412,48.3318540234231
2011-10-01,50.4665125984252,48.3278240753196
2011-11-01,48.4825866141732,48.3237941272161
2011-12-01,49.4850209677419,48.2607639886468
2012-01-01,48.4095095238095,48.1977338500775
2012-02-01,48.9615404761905,48.0886490163393
2012-03-01,48.6026266129032,47.9795641826011
2012-04-01,47.3582555555556,47.8544467589289
2012-05-01,45.4038714285714,47.7293293352568
2012-06-01,46.7173943548387,47.633169479097
2012-07-01,46.0476503937008,47.5370096229372
2012-08-01,46.0057674603175,47.5791658880701
2012-09-01,47.6897475806452,47.6213221532029
2012-10-01,48.8401911290323,47.8904735289613
2012-11-01,48.5842693548387,48.1596249047197
2012-12-01,48.5309023809524,48.6141616583734
2013-01-01,48.9337468253968,49.0686984120271
2013-02-01,50.1322772357724,49.5745760999919
2013-03-01,49.2607467741936,50.0804537879567
2013-04-01,51.4497117647059,50.5522453537625
2013-05-01,49.6649114754098,51.0240369195683
2013-06-01,50.1723379844961,51.3916491439839
2013-07-01,51.4599178294574,51.7592613683994
2013-08-01,52.1108139534884,51.981070909068
2013-09-01,53.1513534883721,52.2028804497366
2013-10-01,55.1977,52.3120199345442
2013-11-01,53.8118310077519,52.4211594193518
2013-12-01,54.1473395348837,52.4703325626
2014-01-01,53.4238984732824,52.5195057058482
2014-02-01,52.0124634328358,52.3972188147759
2014-03-01,52.6378748091603,52.2749319237036
2014-04-01,50.1487014925373,51.9295373650837
2014-05-01,50.0288679104478,51.5841428064638
2014-06-01,52.6360341085271,51.0642813011477
2014-07-01,50.4614679104478,50.5444197958316
2014-08-01,50.4744582089552,49.9174633166424
2014-09-01,50.4151179104478,49.2905068374531
2014-10-01,49.9030282442748,48.6440332027677
2014-11-01,49.3294945736434,47.9975595680822
2014-12-01,48.2562186046512,47.4748788507402
2015-01-01,46.040213740458,46.9521981333982
2015-02-01,46.0584936507937,46.6173793269649
2015-03-01,43.0666587786259,46.2825605205316
2015-04-01,43.90753203125,46.0860302374672
2015-05-01,42.901858778626,45.8894999544029
2015-06-01,44.9195875,45.7722660586368
2015-07-01,46.5667087301587,45.6550321628707
2015-08-01,45.6795564885496,45.5756074935711
2015-09-01,48.235553968254,45.4961828242715
2015-10-01,47.4955801526718,45.3878422658854
2015-11-01,46.7852732824427,45.2795017074993
2015-12-01,45.7695832061069,45.1531458020473
2016-01-01,46.0122392307692,45.0267898965952
2016-02-01,44.3642229007634,44.9053798778808
2016-03-01,42.4269580152672,44.7839698591664
2016-04-01,42.4126588709677,44.6851742589636
2016-05-01,42.0887664,44.5863786587608
2016-06-01,42.8600984126984,44.5728531061068
2016-07-01,45.538393495935,44.5593275534529
2016-08-01,45.6885390243902,44.6337501749186
2016-09-01,45.263023015873,44.7081727963843
2016-10-01,46.1696682539683,44.8150485147239
2016-11-01,45.4213650793651,44.9219242330636
2016-12-01,46.5236764227642,45.0395798103249
2017-01-01,46.4096576,45.1572353875863
2017-02-01,45.607981300813,45.3239192392332
2017-03-01,43.1283071428571,45.4906030908802
2017-04-01,43.8282585365854,45.6894547046037
2017-05-01,43.4546373015873,45.8883063183272
2017-06-01,44.3314452380952,46.0152805005416
2017-07-01,46.449837007874,46.1422546827559
2017-08-01,46.9486165354331,46.1923531351084
2017-09-01,48.7082016129032,46.2424515874608
2017-10-01,49.42784921875,46.2501233301339
2017-11-01,48.2610038167939,46.257795072807
2017-12-01,47.0717803030303,46.2531156478852
2018-01-01,46.527065648855,46.2484362229635
2018-02-01,46.0976100775194,46.2551607861144
2018-03-01,42.7999333333333,46.2618853492653
2018-04-01,44.5536467741935,46.3280889728067
2018-05-01,41.9324007633588,46.3942925963481
2018-06-01,47.1858782258065,46.5511968333086
2018-07-01,45.8313325757576,46.7081010702691
2018-08-01,47.4401488549618,46.8790028111133
2018-09-01,48.6263,47.0499045519576
2018-10-01,51.2787161290323,47.1387458088563
2018-11-01,48.084392248062,47.2275870657551
2018-12-01,48.9516976,47.2281124559553
2019-01-01,50.0834066666667,47.2286378461554
2019-02-01,45.8880782258064,47.2426784890984
2019-03-01,45.1189838709677,47.2567191320413
2019-04-01,45.0299387096774,47.2668256529894
2019-05-01,42.7917461538462,47.2769321739376
2019-06-01,46.4440896825397,47.2572145068408
2019-07-01,46.0258621212121,47.237496839744
2019-08-01,47.9089954198473,47.303960422966
2019-09-01,51.8412079365079,47.370424006188
2019-10-01,51.484876984127,47.5300702545516
2019-11-01,47.1787656716418,47.6897165029151
2019-12-01,47.6186946969697,47.8174679967537
2020-01-01,46.6856723880597,47.9452194905923
2020-02-01,48.8685593495935,48.0133143986177
